target,lag_group,A_alpha,B_raw_alpha,B_rank_alpha,C_conservative_alpha,C_pca50_alpha,D_momentum,E_hgbr
target_0,1,1000.0,100.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_1,1,1000.0,10.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_2,1,1000.0,0.1,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_3,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_4,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_5,1,1000.0,100.0,0.01,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_6,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_7,1,1000.0,100.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_8,1,1000.0,10000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_9,1,1000.0,1000.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_10,1,1000.0,100000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_11,1,1000.0,10000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_12,1,1000.0,100.0,0.0001,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_13,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_14,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_15,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_16,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_17,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_18,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_19,1,1000.0,1000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_20,1,1000.0,1000.0,10.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_21,1,1000.0,0.0001,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_22,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_23,1,1000.0,10000.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_24,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_25,1,1000.0,0.01,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_26,1,1000.0,100000.0,10.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_27,1,1000.0,0.1,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_28,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_29,1,1000.0,100000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_30,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_31,1,1000.0,100000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_32,1,1000.0,100000.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_33,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_34,1,1000.0,1000.0,0.0001,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_35,1,1000.0,10000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_36,1,1000.0,1000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_37,1,1000.0,1000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_38,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_39,1,1000.0,100000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_40,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_41,1,1000.0,1000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_42,1,1000.0,10.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_43,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_44,1,1000.0,100000.0,0.0001,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_45,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_46,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_47,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_48,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_49,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_50,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_51,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_52,1,1000.0,10000.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_53,1,1000.0,1000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_54,1,1000.0,1000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_55,1,1000.0,10.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_56,1,1000.0,1000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_57,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_58,1,1000.0,10000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_59,1,1000.0,1000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_60,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_61,1,1000.0,10000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_62,1,1000.0,1000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_63,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_64,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_65,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_66,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_67,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_68,1,1000.0,100000.0,0.0001,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_69,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_70,1,1000.0,1000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_71,1,1000.0,10.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_72,1,1000.0,100.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_73,1,1000.0,1000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_74,1,1000.0,100000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_75,1,1000.0,0.1,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_76,1,1000.0,10.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_77,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_78,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_79,1,1000.0,10.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_80,1,1000.0,1000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_81,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_82,1,1000.0,100000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_83,1,1000.0,0.0001,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_84,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_85,1,1000.0,1000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_86,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_87,1,1000.0,1000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_88,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_89,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_90,1,1000.0,10.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_91,1,1000.0,100000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_92,1,1000.0,100.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_93,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_94,1,1000.0,100000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_95,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_96,1,1000.0,0.1,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_97,1,1000.0,100.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_98,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_99,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_100,1,1000.0,1000.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_101,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_102,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_103,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_104,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_105,1,1000.0,100000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_106,2,1000.0,0.001,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_107,2,1000.0,10.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_108,2,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_109,2,1000.0,10000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_110,2,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_111,2,1000.0,100.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_112,2,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_113,2,1000.0,100000.0,100.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_114,2,1000.0,100000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_115,2,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_116,2,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_117,2,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_118,2,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_119,2,1000.0,10000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_120,2,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_121,2,1000.0,100000.0,100.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_122,2,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_123,2,1000.0,100000.0,100.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_124,2,1000.0,100.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_125,2,1000.0,10000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_126,2,1000.0,100.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_127,2,1000.0,10.0,100.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_128,2,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_129,2,1000.0,100000.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_130,2,1000.0,100.0,1000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_131,2,1000.0,1000.0,100000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_132,2,1000.0,1000.0,10000.0,1e4 (fixed),1000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
